Id	Text	Sentiment
5a82e23966cd066aea91a8f8	नेपाल प्रहरीले एसिडअपराधी जीवन बिकलाई पक्डन सफल मात्र हैन आफ्नो छवि अरू बढायो सेवा र अनुसन्धानमा यसका लागि प्रशंसा रअब  यस्ता अपराधीलाई निरूत्साहित गरनेकानुन र कारबाही हेरनुछ	1
5a82e22d66cd066aea8f4e0b	हसोछ बुडोले	1
5a9e6e1698d05961ce79abaf	"किस्मत,हिफाजत र कसले चोर्यो मेरो मन 
   जस्तै राम्रो बनोस र सफल होस 
    यहि जोडी को पर्खाइमा थिए म 
          रेखा  दिदी र आर्यन दाइ बधाइ तथा शुभकामना 💞💞"	1
5a82e20f66cd066aea8a5d34	हार्दिक बधाई  छ हजुर्लाइ	1
5a82e21d66cd066aea8ca8ab	मोहनी नखःया लसताय भिन्तुना:	1
5a82e21d66cd066aea8ca4eb	बधाई छ	1
5a82e21c66cd066aea8c7a54	कमरेड प्रदीप सर को पार्टी एकताको बारेमा दिनुभएको जानकारी बाट केही आशा हरु पलाएको महसुस भैराहाछ ।	1
5a82e21766cd066aea8be0f2	शुभकामना।	1
5a82e22466cd066aea8dcae1	नेपालिको एकता हो यो	1
5a9e6e1398d05961ce772988	ल बधाई छ मुरी मुरी।	1
5a9e6e0f98d05961ce72aefe	माननीय  पुर्ब प्रधानमंत्री  ज्यु हजुर ले सोचेको सपना  पुरा होस्।तपाइ को नया शक्तिले  समग्र  देश समृद्धि  को चुचुरो  सम्म पुगाउछ।।।।।।।	1
5a82e20266cd066aea8896a3	जय बौद्ध	1
5a82e20866cd066aea898f8f	जय नयाँ शक्ति	1
5a82e20266cd066aea889240	धन्य हो हाम्रो नेपाली सेना सबै थाउ मा उहाँ हरू  सहयोग ले नै देस बचि राछ मेराे सलाम छ	1
5a82e21d66cd066aea8c84a2	नब आगन्तुक सबैलाई स्वागत छ	1
5a82e21266cd066aea8ad38e	पोखरेले ज्यगरे ठिकैगरे पसले ले गराखलाइ  एक महिन ठकेको त गयोला!	1
5a9e6e0e98d05961ce72669c	मौका परखी बस्ने पौरषीलाई एक न एक दिन अवसर आउछ् !!!	1
5a9e6e1298d05961ce75ec01	होर ल ल बदाइ छ	1
5a82e21266cd066aea8aab47	बालबालिकाको मनोसामाजिक व्यथा बुझेर गर्नु भएको यस्तो उपचार सारिने सराहनीय छ / बालबालिकाको मुहारमा हासो देख्दा सारैनै खुसि लाग्यो	1
5a9e6e0e98d05961ce719b36	"कार्की श्रीमानको अन्तर्वार्ता एकदमै उर्जाले भरीएको, निश्पक्ष र जोशीलो लाग्यो...
आशा गरौ‌ श्रीमानको अबको एक बर्षे ऐतिहासिक कार्यकाल पनि यस्तै उर्जै उर्जाले भरियोस । श्रीमानलाई सफल कार्यकालको शुभकामना !!!
#चन्द्र_बहादुर_शाही
#दैलेख_जिल्ला_अदालत"	1
5a9e6e0f98d05961ce7322a6	दामी लेख छ साथीहरु	1
5a82e22c66cd066aea8f3137	ल बधाइ छ	1
5a82e21166cd066aea8a9ea4	"बिजया दशमी को मंगलमय सुभकामना ,
सम्पूर्ण नेपाल प्रहरी सहपरिवार ,"	1
5a82e20c66cd066aea89e1bd	यसरी जनताको उत्साहित सहभागिता नयाँ शक्तिमा जारी रहि रहने हो भने हामिले भने जस्तै नयाँ संबृद्धी र विकास हाम्रै पालामा पक्का छ ।	1
5a9e6e1298d05961ce75eb49	राम्रो	1
5a82e20266cd066aea889b80	म्याग्दि को बेनि बाट सुन्दैछु ।यहाँ का रेडियो को मा भन्दा निकै राम्रो छ फेसबुक लाईब ।	1
5a82e22266cd066aea8d7b5f	धेरै राम्रो छ	1
5a82e21266cd066aea8acfd2	यित ठुलो काम गरेकाेमा नेपाल पर्हरीलाई धन्नेबाद	1
5a9e6e1298d05961ce757f76	स्वागत छ कमरेड हरुलाइ ।	1
5a82e23066cd066aea9016f8	जय नेपाल।	1
5a82e20866cd066aea89817c	यो    चोटि राष्ट्रिय पार्टी  ।अर्को चोटि देशकै कार्यभार।माफिया तन्त्रको काउ्न्ट डाउन गन्ती सुरु।अबको आसा बिबेकशिल साझा।	1
5a9e6e1498d05961ce77f01c	कुरो नबुझेर अनेक मान्छेको अनेक कुरा नेपाल लाइ हिन्दू राष्ट्र घोसना गर्नु एक दमै सहि हो बुध्द,सिख,जैन, हरू सबै हिन्दू धर्मा लम्बी हुन मार्ग  मात्रै उनिहरूको अलग मानीन्छ बिस्व हिन्दू सन्मेलनमा इनिहरू सबै जम्मा हुन्छन तर मानीषहरू कुरो नबुझेर नाना थरि कुरा गर्छन।जय हिन्दु, जय हिन्दू राष्ट्र नेपाल।	1
5a9e6e1698d05961ce79251f	राम्रो कुरा गरेछन्।	1
5a82e20866cd066aea898bef	बिरोधको शैली एकदम ठिक लागो म हजुरहरुको साथमा।	1
5a9e6e1298d05961ce758ee7	"नेकपा (एमाले)का उपाध्यक्ष वामदेव गौतमले आफू हारे पनि गठबन्धनले जितेकामा खुशी व्यक्त गर्दै काँधमा काँध मिलाएर अघि बढ्ने बताएका छन्।

बर्दिया प्रतिनिधिसभा क्षेत्र नं १ बाट पराजीत भएपछि उपाध्यक्ष गौतमले आज एक विज्ञप्ति जारी गरी गठबन्धनको एउटा प्रमुख सूत्रधारको हैसियतले गठबन्धनले प्राप्त गरेको अपार सफलताबाट ज्यादै हर्षित भएको उल्लेख गरेका छन्।

आफू व्यक्तिगत रुपमा पराजीत हुन परे पनि पार्टी र समग्र वाम गठबन्धनले हासिल गरेको अद्वितीय विजयले आफ्नो पराजयबाट रत्तिभर पनि निराशाबोध भएको छैन भन्दै उनले जनताले वाम गठबन्धनप्रति देखाएको यो अगाढ प्यार र विश्वासले अत्यन्त उत्साहित बनाएको बताए।

“यो गठबन्धन क्रमशः पार्टी एकतामा रुपान्तरण हुँदै समाजवाद निर्माणको महत्वपूर्ण अध्यायमा मुलुक प्रवेश गर्ने कुरामा म विश्वस्त छु। यस विषयमा आफूले प्रस्तुत गर्नुपर्ने भूमिका र जिम्मेवारीमा म सधैँ, उत्तिकै र अझ ऊर्जाका साथ लागिपर्ने विश्वास पनि दिलाउन चाहन्छु”, विज्ञप्तिमा भनिएको छ। 

एमाले उपाध्यक्ष गौतमले आगामी दिनमा राष्ट्र, राष्ट्रियता र जनताको हितमा सक्रिय रहने प्रतिबद्धता जनाउँदै बर्दिया क्षेत्र नं १ का मतदाता एवं सम्पूर्ण जनतालाई मत दिएकामा आभार व्यक्त गरेका छन्।

गठबन्धनले प्राप्त गरेको अपार विजयले हामी सबैको काँधमा धेरै जिम्मेवारी र चुनौती थपेको उल्लेख गर्दै उपाध्यक्ष गौतमले नेपाली जनताले वाम गठबन्धनप्रति देखाएको अतुलनीय विश्वासलाई रत्तिभर पनि निराश हुन नदिने बताए//"	1
5a9e6e1398d05961ce7726b3	"हामी पनि होलि मनाऊ !दुख को दिनहरु लाई भुलौ !!
(नारायण गुरागाईं,हाल प्रबास )"	1
5a82e23666cd066aea90ff57	सुपरस्टारको कामको सफलता...	1
5a9e6e1498d05961ce781cd3	जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल जय नेपाल ! नेपाल ले पक्कै जित्छ	1
5a82e23966cd066aea919868	धेरै  राम्रो ।	1
5a9e6e1698d05961ce7913b3	सबैलाई धन्यवाद, हामीहरूले चाहेको व्यक्तित्वलाई  जिताउन सफल भयौँ यो हामी सबैको जीत हो, पहिले देशको संविधान  बनोस्   	1
5a9e6e1198d05961ce755f57	धेरै राम्रो नतिजा आउला जस्तो छ बधाइ छ बाम घटबन्धन लाई	1
5a82e23966cd066aea91ae6a	बधाइ एबम आगामी दिनको पनि सफलताको  शुभकामना कामना छ  नातिनी लाई !	1
5a82e22c66cd066aea8f2412	अपराधी लाई सम्मान दिनु नेपालको न्यायालयको बहादुरी हो, जुन अहिले पनि देखियो?	1
